@cn brank, country, billions, pct_gdp
1,United States,596.0,3.3
2,China,215.0,1.9
3,Saudi Arabia,87.2,13.7
4,Russia,66.4,5.4
5,United Kingdom,55.5,2.0
6,India,51.3,2.3
7,France,50.9,2.1
8,Japan,40.9,1.0
9,Germany,39.4,1.2
10,South Korea,36.4,2.6
11,Brazil,24.6,,1.4
12,Italy,23.8,,1.3
13,Australia,23.6,1.9
14,United Arab Emirates,22.8,5.7
15,Israel,16.1,5.4
16,Turkey,15.2,2.1
17,Canada,15.0,1.0
18,Spain,14.1,1.2
19,Iraq,13.1,9.1
20,Poland,10.5,2.2
21,Algeria,10.4,6.2
22,Iran,10.3,2.5
23,Oman,9.9,16.2
24,Colombia,9.9,3.5
25,Taiwan,9.8,1.9
26,Pakistan,9.5,3.4
27,Singapore,9.4,3.2
28,Netherlands,8.9,1.2
29,Mexico,7.7,0.7
30,Indonesia,7.6,0.9
