@cn flag,country,active_mil,reserve_mil,paramil,total,per1kcap_total,per1kcap_active
Afghanistan,185800,0,152350,338150,10.6,5.8
Albania,14250,0,500,14750,5.1,4.9
Algeria,520000,400000,110000,1030000,26.1,13.2
Angola,107000,0,10000,117000,9.1,8.4
Antigua and Barbuda,180,70,0,250,2.9,2.1
Argentina,73100,0,31240,104340,2.6,1.8
Armenia,44800,210000,4300,259100,86,14.9
Australia,56200,28550,0,84750,3.6,2.4
Austria,22800,171400,0,194200,22.6,2.7
Azerbaijan,66950,300000,15000,381950,40.1,7
Bahamas,850,0,0,850,2.8,2.8
Bahrain,8200,0,11260,19460,14.5,6.1
Bangladesh,157050,0,63900,220950,1.4,1
Barbados,610,430,0,1040,3.7,2.1
Belarus,48000,289500,110000,447500,47.2,5.1
Belgium,30700,6800,0,37500,3.6,2.9
Belize,1050,700,0,1750,5.7,3.4
Benin,6950,0,2500,9450,1.1,0.8
Bolivia,46100,0,37100,83200,8.5,4.7
Bosnia and Herzegovina,10500,0,0,10500,2.3,2.3
Botswana,9000,0,1500,10500,5.3,4.5
Brazil,318480,1340000,395000,2053480,10,1.6
Brunei,7000,700,2250,9950,23.9,16.8
Bulgaria,31300,303000,16000,350300,48.6,4.3
Burkina Faso,11200,0,250,11450,0.7,0.7
Burma,406000,0,107250,513250,10,7.9
Burundi,20000,0,31000,51000,5.4,2.1
Cambodia,124300,0,67000,191300,13.2,8.6
Cameroon,14100,0,9000,23100,1.2,0.7
Canada,66000,30950,4500,101450,2.8,1.8
Cape Verde,1200,0,0,1200,2.8,2.8
Central African Republic,7150,0,1000,8150,1.8,1.6
Chad,25350,0,9500,34850,3.4,2.5
Chile,61400,40000,44700,146100,8.8,3.7
China,2333000,510000,660000,3503000,2.6,1.7
Colombia,466713,61900,159000,687613,14.3,9.7
Costa Rica,0,0,9800,9800,2.1,0
Croatia,14506,,3000,17506,3.9,3.2
Côte d'Ivoire,40000,0,0,40000,1.9,1.9
Democratic Republic of the Congo,134250,0,0,134250,2,2
Cuba,49000,39000,1146500,1234500,107.8,4.3
Cyprus,12000,50000,750,62750,73.1,14
Czech Republic,23650,0,3100,26750,2.5,2.2
North Korea,1190000,600000,5889000,7679000,308.5,47.8
Denmark,17200,53500,0,70700,12.5,3
Djibouti,15000,9500,2500,27000,33.3,18.5
Dominican Republic,46000,0,15000,61000,6.3,4.8
Ecuador,58000,118000,500,176500,12.1,4
Egypt,438500,479000,397000,1314500,14.9,5
El Salvador,15300,9900,17000,42200,5.9,2.1
Equatorial Guinea,1100,0,0,1100,1.7,1.7
Eritrea,201750,120000,0,321750,50.4,31.6
Estonia,5750,30000,12000,47750,36.3,4.4
Ethiopia,138000,0,0,138000,1.6,1.6
Fiji,3500,6000,0,9500,10.1,3.7
Finland,22200,354000,2800,379000,69.2,4.1
France,222200,29650,103400,355250,5.3,3.3
Gabon,4700,0,2000,6700,4.4,3.1
Gambia,800,0,0,800,0.4,0.4
Georgia,20650,0,11700,32350,8.7,5.5
Germany,186450,40320,0,226770,2.8,2.3
Ghana,15500,0,0,15500,0.6,0.6
Greece,143350,216650,4000,364000,33.1,13
Guatemala,17300,63850,25000,106150,8,1.3
Guinea,9700,0,2600,12300,1.2,1
Guinea-Bissau,4000,0,2000,6000,3.9,2.6
Guyana,1100,670,1500,3270,4.3,1.5
Haiti,0,0,50,50,0,0
Honduras,12000,60000,8000,80000,10.2,1.5
Hungary,26500,44000,12000,82500,8.3,2.7
Iceland,0,0,200,200,0.6,0
India,1325000,1155000,2288407,4768407,3.9,1.1
Indonesia,395500,400000,281000,1076500,4.2,1.5
Iran,523000,350000,40000,913000,11.4,6.5
Iraq,271500,0,531000,802500,24.6,8.3
Ireland,9350,4630,0,13980,3,2
Israel,176500,465000,8000,649500,78.3,21.3
Italy,176000,18300,183500,377800,6.2,2.9
Jamaica,2830,980,0,3810,1.3,1
Japan,247150,56100,12650,315900,2.5,2
Jordan,100500,65000,15000,180500,27.1,15.1
Kazakhstan,39000,0,31500,70500,4.6,2.5
Kenya,24120,0,5000,29120,0.7,0.6
Kosovo,4500,2000,0,6500,3.5,2.4
Kuwait,15500,23700,7100,46300,17.2,5.8
Kyrgyzstan,10900,0,9500,20400,3.8,2
Laos,29100,0,100000,129100,18.9,4.3
Latvia,5310,7850,0,13160,6.7,2.7
Lebanon,60000,0,20000,80000,17.9,13.4
Lesotho,2000,0,0,2000,0.9,0.9
Liberia,2050,0,0,2050,0.6,0.6
Libya,7000,0,0,7000,1.1,1.1
Lithuania,15900,4550,11550,32000,11.2,5.5
Luxembourg,900,0,610,1510,3.1,1.8
Madagascar,13500,0,8100,21600,1,0.7
Malawi,5300,0,1500,6800,0.5,0.4
Malaysia,109000,51600,269300,429900,16.7,4.2
Mali,3000,0,7800,10800,0.8,0.2
Malta,1950,180,0,2130,5.3,4.8
Mauritania,15870,0,5000,20870,6.7,5.1
Mauritius,0,0,2500,2500,1.9,0
Mexico,270250,87350,59500,417100,3.8,2.4
Moldova,5350,58000,2400,65750,15.2,1.2
Mongolia,10000,137000,7200,154200,50.7,3.3
Montenegro,2080,0,10100,12180,18.1,3.1
Morocco,195800,150000,50000,395800,12.7,6.3
Mozambique,11200,0,0,11200,0.5,0.5
Namibia,9200,0,6000,15200,7.2,4.4
Nepal,95750,0,62000,157750,5.5,3.4
Netherlands,37400,3200,5900,46500,2.7,2.2
New Zealand,8550,2290,0,10840,2.6,2
Nicaragua,12000,0,0,12000,2,2
Niger,5300,0,5400,10700,0.7,0.3
Nigeria,80000,0,82000,162000,1,0.5
Norway,25800,45940,0,71740,14,5
Oman,42600,0,4400,47000,13.8,12.5
Pakistan,643800,550000,304000,1497800,7.5,3.2
Palestine,0,0,56000,56000,14,0
Panama,0,0,12000,12000,3.6,0
Papua New Guinea,1900,0,0,1900,0.3,0.3
Paraguay,10650,164500,14800,189950,27.2,1.5
Peru,115000,188000,77000,380000,12.9,3.9
Philippines,125000,131000,80500,336500,3.4,1.3
Poland,99300,0,73400,172700,4.5,2.6
Portugal,42600,211950,47700,302250,29,4.1
Qatar,11800,0,0,11800,5.5,5.5
Republic of Macedonia,8000,4850,0,12850,6.2,3.9
Republic of the Congo,10000,0,2000,12000,3,2.5
Romania,71400,45000,79900,196300,8.8,3.2
Russian Federation,845000,2000000,519000,3364000,23.4,5.9
Rwanda,33000,0,2000,35000,3.3,3.1
Saudi Arabia,233500,0,15500,249000,8.7,8.1
Senegal,13600,0,5000,18600,1.4,1
Serbia,40000,170000,4500,214500,29.1,5.4
Seychelles,420,0,450,870,9.9,4.8
Sierra Leone,10500,0,0,10500,2,2
Singapore,72500,312500,119100,504100,92.2,13.3
Slovakia,15850,0,0,15850,2.9,2.9
Slovenia,7600,1500,5950,15050,7.3,3.7
Somalia,20000,0,0,20000,1.9,1.9
South Africa,62100,15050,0,77150,1.6,1.3
South Korea,630000,2970000,3004500,6604500,128.7,12.3
Spain,134900,14200,80700,229800,4.9,2.9
Sri Lanka,160900,5500,92600,259000,12.1,7.5
Sudan,244300,85000,20000,349300,8.5,5.9
South Sudan,210000,0,0,210000,5.1,5.1
Suriname,1840,0,100,1940,4,3.8
Sweden,15300,0,22800,38100,3.9,1.6
Switzerland,22650,161250,74000,257900,31.5,2.8
Syria,125000,0,125000,250000,13.9,7
Taiwan,290000,1657000,17000,1964000,84.1,12.4
Tajikistan,8800,0,7500,16300,2.2,1.2
Tanzania,27000,80000,1400,108400,2.6,0.7
Thailand,360850,200000,137700,698550,10.4,5.4
Timor Leste,1330,0,0,1330,1.3,1.3
Togo,8550,0,750,9300,1.5,1.4
Trinidad and Tobago,4050,0,0,4050,3.3,3.3
Tunisia,35800,0,12000,47800,4.6,3.4
Turkey,510600,378700,102200,991500,12.8,6.6
Turkmenistan,22000,0,0,22000,4.5,4.5
Uganda,45000,10000,0,55000,1.7,1.4
Ukraine,250000,900000,84900,1234900,27.9,5.6
United Arab Emirates,51000,0,0,51000,5.5,5.5
United Kingdom,169150,79100,0,248250,3.8,2.6
United States of America,1492200,843750,14000,2349950,7.3,4.6
Uruguay,24650,0,800,25450,7.3,7.1
Uzbekistan,48000,0,20000,68000,2.5,1.7
Venezuela,115000,8000,0,123000,4.6,4.3
Vietnam,482000,5000000,40000,5522000,60.9,5.3
Yemen,66700,0,71200,137900,6,2.9
Zambia,15100,3000,1400,19500,1.6,1.3
Zimbabwe,29000,0,21800,50800,3.9,2.2
